Code,Name,Stock,Origin,Gender,Type,Size,Pairs per Bag,Price,Original Price,Total Discount,Color,Gender,Pairs per Bag,Pairs per Box,Supplier
10102,IQ Kwin,3,India,M,Kwin,"39-43(39,40,41)",6,37000,,,,,,,
10118,IQ Kwin,2,India,M,Kwin,"39-43(39,41)",6,37000,,,,,,,
805A09,IQ Kwin,1,India,M,Kwin,39-43(40),6,37000,,,,,,,
806A52,IQ Kwin,4,India,M,Kwin,"39-43(39,40x2,41)",6,37000,,,,,,,
806A57,IQ Kwin,1,India,M,Kwin,39-43(40),6,37000,,,,,,,
806B36,IQ Kwin,2,India,M,Kwin,"39-43(39,41)",6,37000,,,,,,,
806B55,IQ Kwin,2,India,M,Kwin,"39-43(39,40)",6,37000,,,,,,,
90969,IQ Kwin,2,India,M,Kwin,"39-43(40,41)",6,37000,,,,,,,
909S33,IQ Kwin,5,India,M,Kwin,"39-43(39x3,41x2)",6,37000,,,,,,,
909S54,IQ Kwin,1,India,M,Kwin,39-43(39),6,37000,,,,,,,
C1306,IQ Kwin,4,India,M,Kwin,"39-43(39,40,41x2,42)",6,37000,,,,,,,
C2051,Govy Kwin,5,India,M,Kwin,"39-43(39x2,40,41x2)",6,37000,,,,,,,
C2357,Govy Kwin,5,India,M,Kwin,"39-43(39x2,40x2,43)",6,37000,,,,,,,
C2357,Govy Kwin,6,India,M,Kwin,"39-43(41x4,42x2)",6,37000,,,,,,,
C2384,Govy Kwin,6,India,M,Kwin,"39-43(39x3,40x2,41)",6,37000,,,,,,,
CF0102,IQ Kwin,4,India,M,Kwin,"39-43(39x3,40)",6,37000,,,,,,,
CF0104,IQ Kwin,13,India,M,Kwin,"39-43(39x5,40x3,41x4,42)",6,37000,,,,,,,
CF0105,IQ Kwin,4,India,M,Kwin,"39-43(39,40,41x2)",6,37000,,,,,,,
F51392,Govy Kwin,2,India,M,Kwin,"39-43(40,41)",6,37000,,,,,,,
F58629,Govy Kwin,2,India,M,Kwin,"39-43(39,40)",6,37000,,,,,,,
F58630,Govy Kwin,3,India,M,Kwin,"39-43(39,40,41)",6,37000,,,,,,,
F58635,Govy Kwin,3,India,M,Kwin,"39-43(39,40,41)",6,37000,,,,,,,
F58642,Govy Kwin,4,India,M,Kwin,"39-43(39,41x2,42)",6,31000,,,,,,,
F58645,Govy Kwin,4,India,M,Kwin,"39-43(39,40,42x2)",6,37000,,,,,,,
F58660,Govy Kwin,3,India,M,Kwin,"39-43(39,40,42)",6,37000,,,,,,,
F58664,Govy Kwin,3,India,M,Kwin,"39-43(40,41,42)",6,37000,,,,,,,
F58774,Govy Kwin,3,India,M,Kwin,"39-43(41x2,41)",6,37000,,,,,,,
N06,IQ Kwin,3,India,M,Kwin,"39-43(39,40,41)",6,37000,,,,,,,
T6801,IQ Kwin,2,India,M,Kwin,39-43(39x2),6,37000,,,,,,,
T6829,IQ Kwin,7,India,M,Kwin,"39-43(39x2,40x2,41x3)",6,37000,,,,,,,
T6830,IQ Kwin,8,India,M,Kwin,"39-43(39,40x3,41x4,42)",6,37000,,,,,,,
TX6814,IQ Kwin,2,India,M,Kwin,"39-43(39,40)",6,37000,,,,,,,
V403,Romeo,2,India,M,Kwin,(6x2),6,18000,,,,,,,
V8344,Govy Kwin,3,India,M,Kwin,"39-43(39x2,40)",6,37000,,,,,,,
Y5036,Govy Kwin,7,India,M,Kwin,"39-43(39x2,40,41x4)",6,37000,,,,,,,
9145,Govy Nyat,2,India,M,Nyat,"39-43(39,40)",6,37000,,,,,,,
9195,IQ Nyat,8,India,M,Nyat,"39-43(39x3,40x2,41x2,42x1)",6,37000,,,,,,,
10108,IQ Nyat,0,India,M,Nyat,39-43,6,37000,,,,,,,
806B49,IQ Nyat,1,India,M,Nyat,39-43(39),6,37000,,,,,,,
80882,IQ Nyat,4,India,M,Nyat,"39-43(39,40,41x2)",6,37000,,,,,,,
901194,IQ Nyat,15,India,M,Nyat,"39-43(39x3,40x2,41x6,42x3,43)",6,37000,,,,,,,
90274,IQ Nyat,6,India,M,Nyat,"39-43(39x2,40x2,41x2)",6,37000,,,,,,,
CF0119,IQ Nyat,1,India,M,Nyat,39-43(39),6,37000,,,,,,,
CF0129,IQ Nyat,12,India,M,Nyat,"39-43(39x2,40x4,41x4,42x2)",6,37000,,,,,,,
CF0158,Govy Nyat,1,India,M,Nyat,39-43(39),6,37000,,,,,,,
